,기간,오타니
28,2019-07-11,1.67538
29,2019-07-12,1.691
30,2019-07-13,3.02272
31,2019-07-14,2.46817
32,2019-07-15,3.0774
33,2019-07-16,2.96024
34,2019-07-17,3.67882
35,2019-07-18,2.74935
36,2019-07-19,2.5658
37,2019-07-20,4.45598
38,2019-07-21,2.42911
39,2019-07-22,2.62438
40,2019-07-23,2.2729
41,2019-07-24,7.52557
42,2019-07-25,4.75279
43,2019-07-26,2.85479
44,2019-07-27,2.6361
45,2019-07-28,2.32367
46,2019-07-29,2.07373
47,2019-07-30,2.23775
48,2019-07-31,2.17527
49,2019-08-01,2.36272
50,2019-08-02,1.78083
51,2019-08-03,2.15965
52,2019-08-04,1.94876
53,2019-08-05,2.19089
54,2019-08-06,4.93243
55,2019-08-07,2.08935
56,2019-08-08,1.60509
57,2019-08-09,2.76107
58,2019-08-10,2.03467
59,2019-08-11,2.67515
60,2019-08-12,4.07716
61,2019-08-13,2.65953
62,2019-08-14,2.94071
63,2019-08-15,3.68273
64,2019-08-16,2.76888
65,2019-08-17,5.84628
66,2019-08-18,2.95633
67,2019-08-19,2.99929
68,2019-08-20,6.46723
69,2019-08-21,4.11622
70,2019-08-22,2.87042
71,2019-08-23,1.98781
72,2019-08-24,2.53846
73,2019-08-25,2.6361
74,2019-08-26,2.11278
75,2019-08-27,2.68296
76,2019-08-28,2.24166
77,2019-08-29,3.35858
78,2019-08-30,2.39006
79,2019-08-31,1.97219
80,2019-09-01,1.72225
81,2019-09-02,1.40982
82,2019-09-03,1.69882
83,2019-09-04,1.60899
84,2019-09-05,2.55018
85,2019-09-06,1.72225
86,2019-09-07,2.0542
87,2019-09-08,3.41326
88,2019-09-09,1.40592
89,2019-09-10,1.8355
90,2019-09-11,1.2497
91,2019-09-12,1.52308
92,2019-09-13,3.96
93,2019-09-14,1.53089
94,2019-09-15,2.25337
95,2019-09-16,2.17917
96,2019-09-17,1.18331
97,2019-09-18,1.14426
98,2019-09-19,1.15207
99,2019-09-20,1.14426
100,2019-09-21,0.88651
101,2019-09-22,0.99976
102,2019-09-23,4.06935
103,2019-09-24,1.92142
104,2019-09-25,1.46059
105,2019-09-26,1.58556
106,2019-09-27,1.67148
107,2019-09-28,1.01929
108,2019-09-29,2.61657
109,2019-09-30,1.49574
110,2019-10-01,2.52284
111,2019-10-02,1.33562
112,2019-10-03,0.99586
113,2019-10-04,1.15207
114,2019-10-05,0.96071
115,2019-10-06,1.03491
116,2019-10-07,1.87456
117,2019-10-08,1.36296
118,2019-10-09,0.99195
119,2019-10-10,1.85112
120,2019-10-11,0.97633
121,2019-10-12,1.09349
122,2019-10-13,1.1755
123,2019-10-14,1.23018
124,2019-10-15,0.89041
125,2019-10-16,0.91775
126,2019-10-17,1.14426
127,2019-10-18,1.02319
128,2019-10-19,0.79668
129,2019-10-20,0.98804
130,2019-10-21,0.96071
131,2019-10-22,1.45668
